Acc_x,Acc_y,Acc_z
0.32,0.22,0.94
0.32,0.21,0.93
0.31,0.22,0.93
0.3,0.22,0.94
0.28,0.22,0.94
0.27,0.22,0.94
0.27,0.22,0.94
0.27,0.22,0.94
0.28,0.21,0.93
0.29,0.21,0.94
0.29,0.21,0.94
0.29,0.21,0.93
0.29,0.21,0.93
0.29,0.21,0.93
0.29,0.22,0.94
0.28,0.22,0.93
0.28,0.23,0.93
0.28,0.23,0.93
0.28,0.23,0.93
0.28,0.22,0.93
0.28,0.22,0.93
0.29,0.22,0.94
0.29,0.22,0.94
0.29,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.94
0.29,0.22,0.93
0.28,0.22,0.93
0.28,0.22,0.93
0.28,0.22,0.94
0.28,0.22,0.93
0.28,0.21,0.93
0.27,0.21,0.94
0.27,0.21,0.93
0.28,0.21,0.94
0.28,0.21,0.94
0.29,0.21,0.94
0.29,0.22,0.94
0.29,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.93
0.28,0.22,0.93
0.28,0.22,0.93
0.28,0.22,0.93
0.28,0.22,0.93
0.28,0.22,0.94
0.29,0.22,0.94
0.29,0.22,0.94
0.29,0.22,0.94
0.28,0.22,0.93
0.27,0.22,0.93
0.27,0.21,0.93
0.27,0.21,0.93
0.27,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.94
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.29,0.22,0.94
0.29,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.94
0.29,0.22,0.93
0.29,0.22,0.93
0.29,0.22,0.93
0.29,0.21,0.93
0.29,0.21,0.93
0.28,0.21,0.93
0.28,0.22,0.94
0.28,0.22,0.94
0.28,0.22,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.29,0.2,0.93
0.29,0.21,0.93
0.29,0.21,0.93
0.29,0.21,0.93
0.29,0.21,0.94
0.29,0.21,0.94
0.28,0.22,0.93
0.28,0.22,0.93
0.28,0.22,0.93
0.28,0.21,0.93
0.28,0.21,0.94
0.29,0.21,0.94
0.29,0.21,0.94
0.29,0.21,0.94
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.22,0.93
0.29,0.22,0.94
0.29,0.22,0.94
0.29,0.21,0.93
0.28,0.21,0.94
0.28,0.21,0.93
0.27,0.21,0.93
0.27,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.29,0.21,0.94
0.29,0.22,0.94
0.29,0.22,0.94
0.29,0.22,0.93
0.28,0.22,0.93
0.27,0.21,0.94
0.27,0.21,0.93
0.27,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.94
0.28,0.21,0.94
0.29,0.21,0.94
0.29,0.21,0.93
0.28,0.22,0.93
0.28,0.21,0.94
0.28,0.21,0.94
0.28,0.21,0.94
0.28,0.21,0.93
0.28,0.21,0.93
0.29,0.21,0.93
0.29,0.21,0.94
0.29,0.21,0.94
0.28,0.21,0.94
0.28,0.21,0.93
0.27,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.28,0.21,0.93
0.29,0.21,0.94
0.29,0.21,0.95
0.28,0.22,0.94
0.28,0.22,0.93
0.27,0.21,0.93
0.27,0.21,0.93
0.28,0.21,0.94
0.28,0.22,0.94
0.28,0.22,0.95
0.29,0.22,0.95
0.29,0.22,0.95
0.28,0.22,0.95
0.28,0.22,0.95
0.28,0.22,0.95
0.28,0.23,0.95
0.27,0.23,0.95
0.27,0.22,0.95
0.26,0.22,0.95
0.25,0.23,0.96
0.24,0.23,0.96
0.23,0.23,0.96
0.24,0.23,0.96
0.26,0.23,0.96
0.28,0.24,0.97
0.29,0.24,0.97
0.31,0.24,0.97
0.33,0.24,0.98
0.33,0.24,0.97
0.34,0.25,0.94
0.32,0.25,0.92
0.29,0.25,0.92
0.26,0.24,0.92
0.24,0.24,0.91
0.22,0.22,0.92
0.23,0.22,0.93
0.21,0.23,0.93
