Acc_x,Acc_y,Acc_z
0.3,0.2,0.87
0.29,0.21,0.86
0.27,0.21,0.86
0.26,0.21,0.85
0.26,0.22,0.85
0.26,0.22,0.86
0.26,0.23,0.86
0.28,0.23,0.87
0.3,0.24,0.88
0.32,0.24,0.89
0.33,0.25,0.89
0.33,0.24,0.89
0.33,0.24,0.89
0.33,0.25,0.89
0.33,0.25,0.88
0.33,0.25,0.88
0.33,0.25,0.89
0.32,0.26,0.91
0.31,0.26,0.95
0.32,0.26,0.94
0.32,0.26,0.92
0.3,0.26,0.9
0.29,0.26,0.89
0.28,0.26,0.9
0.29,0.25,0.91
0.3,0.24,0.92
0.28,0.24,0.93
0.25,0.24,0.95
0.23,0.24,0.95
0.22,0.23,0.96
0.22,0.22,0.97
0.21,0.22,0.97
0.22,0.22,0.97
0.24,0.22,0.97
0.25,0.21,0.98
0.26,0.21,0.98
0.28,0.2,0.99
0.29,0.19,0.99
0.3,0.2,0.99
0.31,0.19,0.98
0.32,0.19,0.97
0.32,0.18,0.96
0.31,0.19,0.96
0.31,0.19,0.97
0.31,0.19,0.97
0.32,0.19,0.96
0.33,0.19,0.96
0.34,0.19,0.95
0.35,0.19,0.95
0.35,0.2,0.93
0.34,0.2,0.92
0.33,0.2,0.92
0.33,0.2,0.93
0.32,0.21,0.92
0.32,0.21,0.92
0.32,0.22,0.91
0.32,0.22,0.91
0.32,0.22,0.91
0.31,0.22,0.92
0.31,0.22,0.93
0.32,0.22,0.92
0.33,0.23,0.93
0.33,0.23,0.93
0.32,0.23,0.93
0.32,0.24,0.94
0.31,0.24,0.95
0.31,0.25,0.95
0.31,0.25,0.95
0.3,0.25,0.94
0.3,0.25,0.94
0.29,0.25,0.94
0.29,0.25,0.94
0.28,0.26,0.94
0.28,0.26,0.93
0.27,0.26,0.91
0.27,0.26,0.9
0.28,0.26,0.91
0.29,0.25,0.92
0.3,0.25,0.92
0.3,0.25,0.91
0.3,0.24,0.91
0.3,0.24,0.91
0.28,0.25,0.91
0.26,0.25,0.91
0.25,0.25,0.9
0.26,0.24,0.9
0.27,0.24,0.9
0.29,0.23,0.89
0.31,0.23,0.88
0.33,0.22,0.88
0.34,0.21,0.89
0.32,0.21,0.89
0.31,0.21,0.9
0.3,0.21,0.9
0.3,0.21,0.9
0.3,0.21,0.9
0.32,0.2,0.9
0.34,0.19,0.91
0.34,0.18,0.92
0.34,0.18,0.92
0.34,0.18,0.91
0.32,0.18,0.9
0.3,0.18,0.9
0.28,0.18,0.9
0.28,0.17,0.9
0.28,0.17,0.9
0.29,0.15,0.91
0.29,0.14,0.92
0.29,0.13,0.92
0.3,0.12,0.92
0.32,0.13,0.92
0.35,0.14,0.92
0.37,0.14,0.92
0.38,0.13,0.92
0.38,0.14,0.92
0.37,0.16,0.96
0.35,0.15,0.99
0.36,0.15,0.97
0.39,0.17,0.92
0.38,0.2,0.87
0.3,0.21,0.85
0.18,0.21,0.92
0.2,0.2,0.98
0.32,0.17,0.96
0.34,0.2,0.94
0.34,0.22,0.98
0.37,0.2,1.04
0.36,0.21,1.07
0.37,0.22,1.04
0.37,0.21,0.99
0.35,0.22,0.96
0.3,0.22,0.96
0.27,0.22,0.97
0.27,0.21,0.97
0.28,0.21,0.97
0.27,0.21,0.96
0.24,0.22,0.96
0.21,0.23,0.96
0.19,0.22,0.96
0.18,0.21,0.96
0.21,0.19,0.95
0.26,0.19,0.93
0.27,0.2,0.92
0.24,0.2,0.94
0.22,0.19,0.97
0.18,0.17,0.98
0.14,0.17,0.98
0.12,0.17,0.96
0.11,0.16,0.96
0.07,0.15,0.97
0.04,0.14,0.97
0.04,0.13,0.98
0.06,0.13,0.98
0.09,0.13,0.97
0.1,0.13,0.96
0.11,0.12,0.96
0.11,0.13,0.98
0.11,0.13,0.99
0.12,0.13,1
0.13,0.13,1
0.13,0.12,1
0.13,0.11,1.01
0.14,0.12,1.01
0.15,0.12,1.02
0.17,0.11,1.03
0.18,0.11,1.03
0.21,0.11,1.02
0.22,0.11,1.02
0.22,0.12,1.02
0.23,0.14,1
0.23,0.15,1
0.23,0.16,0.99
0.24,0.17,0.98
0.26,0.18,0.96
0.26,0.19,0.94
0.25,0.2,0.94
0.24,0.22,0.95
0.21,0.22,0.97
0.19,0.22,0.99
0.19,0.23,1
0.2,0.24,0.99
0.23,0.24,0.99
0.27,0.24,0.98
0.3,0.25,0.96
0.3,0.26,0.96
0.28,0.26,0.96
0.25,0.26,0.96
0.23,0.26,0.97
0.22,0.27,0.97
0.22,0.28,0.97
0.24,0.28,0.98
0.26,0.29,0.97
0.29,0.29,0.93
0.32,0.3,0.91
0.33,0.3,0.9
0.34,0.3,0.87
0.38,0.32,0.84
0.42,0.32,0.82
0.46,0.33,0.79
0.48,0.34,0.77
0.5,0.35,0.74
0.52,0.36,0.73
0.52,0.36,0.72
0.53,0.38,0.69
0.58,0.39,0.67
0.6,0.4,0.64
0.6,0.41,0.62
0.62,0.41,0.6
0.64,0.41,0.58
0.66,0.41,0.56
0.68,0.41,0.54
0.69,0.43,0.52
0.71,0.43,0.51
0.73,0.43,0.48
0.77,0.43,0.44
0.79,0.44,0.43
0.8,0.45,0.42
0.78,0.46,0.43
0.79,0.46,0.43
0.82,0.46,0.42
0.81,0.45,0.41
0.81,0.47,0.4
0.85,0.47,0.38
0.84,0.46,0.35
0.84,0.47,0.33
0.86,0.48,0.32
0.85,0.49,0.33
0.87,0.5,0.32
0.88,0.49,0.32
0.86,0.49,0.3
0.85,0.5,0.28
0.88,0.51,0.26
0.9,0.52,0.25
0.88,0.51,0.25
0.91,0.52,0.24
0.95,0.51,0.21
0.95,0.53,0.2
0.88,0.54,0.19
0.9,0.52,0.18
0.92,0.5,0.16
0.9,0.52,0.15
0.91,0.52,0.15
0.84,0.53,0.14
0.88,0.54,0.11
0.92,0.54,0.1
0.9,0.55,0.09
0.85,0.57,0.08
0.87,0.55,0.05
0.91,0.52,0.04
0.87,0.54,0.06
0.86,0.53,0.05
0.87,0.52,0.04
0.86,0.54,0.04
0.85,0.55,0.04
0.86,0.56,0.02
0.87,0.56,-0.01
0.87,0.57,-0.01
0.86,0.56,0
0.86,0.56,0.02
0.83,0.56,0.03
0.8,0.55,0.04
0.78,0.56,0.05
0.78,0.56,0.05
0.8,0.55,0.04
0.8,0.55,0.04
